2025-09-25 19:18:15 | INFO     | gsb_selenium.core.gsb:__init__:57 - GSB-Selenium instance main initialized
2025-09-25 19:18:15 | INFO     | gsb_selenium.utils.logger:log_proxy_info:81 - [main] Using proxy: https://***:***@customer-nivos_qR24w-cc-us-sessid-606169564-sesstime-10:Niv220niv220_@pr.oxylabs.io:7777
2025-09-25 19:18:15 | INFO     | gsb_selenium.core.gsb:run_search_session:69 - Starting search session with 6 searches
2025-09-25 19:18:15 | DEBUG    | gsb_selenium.utils.search_manager:get_next_search_term:87 - Selected search term: 'best growth hacking services company test'
2025-09-25 19:18:15 | INFO     | gsb_selenium.utils.logger:start_run:95 - Starting run run_20250925_191815 - Search: 'best growth hacking services company test', Target: 'quizlet.com'
2025-09-25 19:18:15 | INFO     | gsb_selenium.utils.logger:log_search_start:57 - [main] Starting search for: 'best growth hacking services company test'
2025-09-25 19:18:15 | INFO     | gsb_selenium.utils.profile_manager:create_random_profile:74 - Created proxy-compatible Chrome user data directory: Profile_4798_main
2025-09-25 19:18:29 | INFO     | gsb_selenium.utils.stealth_driver:_apply_stealth_features:190 - WebGL spoofing applied: Google Inc. (NVIDIA)
2025-09-25 19:18:30 | DEBUG    | gsb_selenium.utils.stealth_driver:_set_random_window_size:209 - Window size set to 1280x720
2025-09-25 19:18:30 | INFO     | gsb_selenium.utils.stealth_driver:create_driver:69 - StealthDriver created for instance main
2025-09-25 19:18:30 | INFO     | gsb_selenium.core.gsb:_perform_search:131 - Navigating to Google
2025-09-25 19:18:50 | DEBUG    | gsb_selenium.utils.stealth_driver:take_screenshot:299 - Screenshot saved: data/screenshots/google_homepage_main_1758817130.png
2025-09-25 19:18:50 | INFO     | gsb_selenium.core.gsb:_perform_search:148 - Typing search term: 'best growth hacking services company test'
2025-09-25 19:19:44 | INFO     | gsb_selenium.utils.stealth_driver:quit:306 - StealthDriver quit for instance main
2025-09-25 19:19:44 | INFO     | gsb_selenium.cli:run:67 - Search session interrupted by user
2025-09-25 19:19:57 | INFO     | gsb_selenium.core.gsb:__init__:57 - GSB-Selenium instance main initialized
2025-09-25 19:19:57 | INFO     | gsb_selenium.utils.logger:log_proxy_info:81 - [main] Using proxy: https://***:***@customer-nivos_qR24w-cc-us-sessid-606236603-sesstime-10:Niv220niv220_@pr.oxylabs.io:7777
2025-09-25 19:19:57 | INFO     | gsb_selenium.core.gsb:run_search_session:69 - Starting search session with 7 searches
2025-09-25 19:19:57 | DEBUG    | gsb_selenium.utils.search_manager:get_next_search_term:87 - Selected search term: 'growth hacking services company test'
2025-09-25 19:19:57 | INFO     | gsb_selenium.utils.logger:start_run:95 - Starting run run_20250925_191957 - Search: 'growth hacking services company test', Target: 'quizlet.com'
2025-09-25 19:19:57 | INFO     | gsb_selenium.utils.logger:log_search_start:57 - [main] Starting search for: 'growth hacking services company test'
2025-09-25 19:19:57 | INFO     | gsb_selenium.utils.profile_manager:create_random_profile:74 - Created proxy-compatible Chrome user data directory: Profile_8052_main
2025-09-25 19:20:12 | INFO     | gsb_selenium.utils.stealth_driver:_apply_stealth_features:190 - WebGL spoofing applied: Google Inc. (Intel)
2025-09-25 19:20:13 | DEBUG    | gsb_selenium.utils.stealth_driver:_set_random_window_size:209 - Window size set to 1440x900
2025-09-25 19:20:13 | INFO     | gsb_selenium.utils.stealth_driver:create_driver:69 - StealthDriver created for instance main
2025-09-25 19:20:13 | INFO     | gsb_selenium.core.gsb:_perform_search:131 - Navigating to Google
2025-09-25 19:20:33 | DEBUG    | gsb_selenium.utils.stealth_driver:take_screenshot:299 - Screenshot saved: data/screenshots/google_homepage_main_1758817233.png
2025-09-25 19:20:34 | INFO     | gsb_selenium.core.gsb:_perform_search:148 - Typing search term: 'growth hacking services company test'
2025-09-25 19:20:36 | INFO     | gsb_selenium.utils.stealth_driver:quit:306 - StealthDriver quit for instance main
